sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
692611f0-d9ef-406c-8327-902575197aee::t8,P0_same_album_ranker_failure,failure,current_config,YAH.,Kendrick Lamar,20,20,18,centroid.anchor_tracks.image_siglip2,7,True,True,True,True,True,True,True,True,True,True
8071d14d-7e0f-4f72-90a6-0941db80a371::t5,P0_same_album_ranker_failure,failure,current_config,Stay Down,Brent Faiyaz,1,1,1,centroid.anchor_tracks.image_siglip2,7,True,True,True,True,True,True,True,True,True,True
c863175a-bbaf-4f6c-aef7-cb16f2792cb5::t6,P0_same_album_ranker_failure,failure,current_config,Cinderella (feat. Ty Dolla $ign),Mac Miller,4,4,2,centroid.anchor_tracks.image_siglip2,8,True,True,True,True,True,True,True,True,True,True
c96d7bb9-65d4-44be-9bc2-891e8e485f4e::t7,P0_same_album_ranker_failure,failure,current_config,Sentimento Louco - Ao Vivo,Marília Mendonça,110,5,7,centroid.anchor_tracks.image_siglip2,8,True,True,True,True,True,False,False,False,True,True
e6ba98e1-9bee-4cc9-a6b7-0a8dcd767a1f::t7,P0_same_album_ranker_failure,failure,current_config,Boom,P.O.D.,16,16,3,centroid.anchor_tracks.image_siglip2,9,True,True,True,True,True,True,True,True,True,True
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,P1_positive_tag_retrieval_gap_failure,failure,current_config,Glitter,"Tyler, The Creator",,,559,centroid.anchor_tracks.audio_laion_clap,6,False,False,False,False,True,False,False,False,False,False
2bbc0a7e-3ab0-4376-8135-182cd4ae075f::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,Las Almas Del Silencio,Ricky Martin,813,,523,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,5,False,False,False,False,True,False,False,False,False,True
464477e4-f186-47fb-8cb0-55691c8b8f57::t6,P1_positive_tag_retrieval_gap_failure,failure,current_config,Where Eagles Dare,"Glenn Danzig, Misfits",205,97,30,centroid.anchor_tracks.image_siglip2,8,False,True,True,True,True,False,False,False,False,True
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t5,P1_positive_tag_retrieval_gap_failure,failure,current_config,You Know What I Mean,Cults,,,,,8,False,False,False,False,False,False,False,False,False,False
a2cface7-c4fc-4eb5-80b2-e0c516093732::t3,P1_positive_tag_retrieval_gap_failure,failure,current_config,The City Is At War,Cobra Starship,13,25,11,centroid.anchor_tracks.cf_bpr,7,True,True,True,True,True,True,True,True,True,True
dd686049-59ba-439b-8c51-949a0876e1b3::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,Vengeance (The Return of the Night Driving Avenger) [Bonus Track],Perturbator,191,208,57,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,4,False,False,True,True,True,False,False,False,True,True
a8df96e2-c196-462c-9484-72aa093aedf4::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,Do Everything,Steven Curtis Chapman,88,120,104,dense.clap_text.sonic_nl.audio_laion_clap,5,False,False,False,True,True,False,False,True,True,True
5a0dfe9d-ec8a-4449-97df-35535cbf162f::t1,P1_positive_tag_retrieval_gap_failure,failure,current_config,A New World,Harry Gregson-Williams,286,280,60,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,4,False,False,True,True,True,False,False,False,False,True
1c567917-f931-4609-9695-a9c0f8e39f3d::t2,P1_positive_tag_retrieval_gap_failure,failure,current_config,Arregaçada / U Can't Touch This,Banda Uó,,,,,7,False,False,False,False,False,False,False,False,False,False
54cda581-3b2e-4245-a479-1a27589760d2::t3,P1_positive_tag_retrieval_gap_failure,failure,current_config,Deliberation - Studio,Katatonia,,,991,bm25,8,False,False,False,False,True,False,False,False,False,False
13066d2c-2d5e-4162-b3dc-354ecef3aff5::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Yellow,Coldplay,28,70,1,lookup.era_popularity,7,True,True,True,True,True,False,True,True,True,True
a62ed6fc-e634-4d57-afab-36d9ffc0fcc1::t1,P0_good_state_ranker_near_miss_failure,failure,current_config,Iris,The Goo Goo Dolls,8,26,2,lookup.era_popularity,5,True,True,True,True,True,True,True,True,True,True
be88097f-b6b0-4fb4-bed9-857a92a733c0::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Dreams - 2004 Remaster,Fleetwood Mac,85,127,1,lookup.era_popularity,8,True,True,True,True,True,False,False,True,True,True
2eb984dc-9c71-449a-a335-caaa113d2c2b::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Tennessee Whiskey,Chris Stapleton,11,10,2,centroid.anchor_tracks.image_siglip2,8,True,True,True,True,True,True,True,True,True,True
43a0926b-882e-403d-8cf7-2b0a598e0cc5::t2,P0_good_state_ranker_near_miss_failure,failure,current_config,Devil In A New Dress,"Rick Ross, Kanye West",5,3,1,centroid.anchor_tracks.cf_bpr,7,True,True,True,True,True,True,True,True,True,True
401c369d-1eba-41b2-8eca-d93a6faeeddc::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Walk,Pantera,74,100,74,centroid.anchor_tracks.cf_bpr,8,False,False,True,True,True,False,False,True,True,True
2db3ddc8-78a1-412c-a71e-e0d748aab0e7::t2,P0_good_state_ranker_near_miss_failure,failure,current_config,Old Time Rock & Roll,Bob Seger,1,1,7,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,9,True,True,True,True,True,True,True,True,True,True
b4ffa800-8173-4f16-800a-4b5e765d7f80::t4,P0_good_state_ranker_near_miss_failure,failure,current_config,And I Love Her - Remastered,The Beatles,,,1,centroid.anchor_tracks.image_siglip2,7,True,True,True,True,True,False,False,False,False,False
66ff896f-fcbc-4c42-9d69-b0b5b5ae5a56::t3,P0_good_state_ranker_near_miss_failure,failure,current_config,Hungry Heart,Bruce Springsteen,1,2,4,centroid.anchor_tracks.cf_bpr,8,True,True,True,True,True,True,True,True,True,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t1,P0_good_state_ranker_near_miss_failure,failure,current_config,Electric Relaxation,A Tribe Called Quest,56,31,1,centroid.anchor_tracks.cf_bpr,8,True,True,True,True,True,False,False,True,True,True
0681d55b-98a0-4773-a9df-075a8050d805::t1,POS_exact_entity_success_control,positive_control,current_config,Numb,Linkin Park,1,1,1,bm25,8,True,True,True,True,True,True,True,True,True,True
8bee6f03-8cae-44ae-9325-455dc1138549::t1,POS_exact_entity_success_control,positive_control,current_config,Africa,"TOTO, Toto",1,1,1,bm25,7,True,True,True,True,True,True,True,True,True,True
d62387d0-3743-4ddc-bc92-8204c951ccee::t1,POS_exact_entity_success_control,positive_control,current_config,In the End,Linkin Park,1,1,1,bm25,7,True,True,True,True,True,True,True,True,True,True
