sample_id,pack,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,clap_sonic_nl_enriched,The Carbon Stampede,Cattle Decapitation,347,383,289,bm25,2,False,False,False,False,True,False,False,False,False,True
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,clap_sonic_nl_enriched,In the Shadows,The Rasmus,,,,,2,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,clap_sonic_nl_enriched,Move Along,The All-American Rejects,509,712,539,bm25,3,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,clap_sonic_nl_enriched,Used To,"Lil Wayne, Drake",,,,,3,False,False,False,False,False,False,False,False,False,False
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,clap_sonic_nl_enriched,The Analog Kid,Rush,214,214,104,bm25,3,False,False,False,True,True,False,False,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,clap_sonic_nl_enriched,God Hates a Coward,Tomahawk,,,828,bm25,2,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,clap_sonic_nl_enriched,Redneck Yacht Club,Craig Morgan,76,114,55,dense.clap_text.sonic_nl_enriched.audio_laion_clap,3,False,False,True,True,True,False,False,True,True,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,clap_sonic_nl_enriched,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",405,385,189,dense.clap_text.sonic_nl_enriched.audio_laion_clap,2,False,False,False,True,True,False,False,False,False,True
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,clap_sonic_nl_enriched,Without You,Christina Aguilera,,,,,2,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,clap_sonic_nl_enriched,Hong Kong 2046,Hong Kong Express,,,,,2,False,False,False,False,False,False,False,False,False,False
